dev59_HR,dev60_SpO2,dev60_PI,dev59_PI,dev59_SpO2
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
97.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
97.0,99.0,0.4,5.0,94.0
96.0,99.0,0.4,5.0,93.0
96.0,99.0,0.4,5.0,93.0
96.0,99.0,0.4,5.0,93.0
96.0,99.0,0.4,5.0,93.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
94.0,99.0,0.4,6.0,94.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
93.0,99.0,0.4,6.0,95.0
94.0,99.0,0.4,6.0,96.0
94.0,99.0,0.4,5.0,95.0
94.0,99.0,0.4,5.0,95.0
94.0,99.0,0.4,5.0,95.0
94.0,99.0,0.4,5.0,95.0
94.0,99.0,0.4,7.0,95.0
94.0,99.0,0.4,7.0,95.0
94.0,99.0,0.4,7.0,95.0
94.0,99.0,0.4,7.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,5.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,94.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,4.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
95.0,99.0,0.4,5.0,95.0
96.0,99.0,0.4,4.0,94.0
96.0,99.0,0.4,4.0,94.0
96.0,99.0,0.4,4.0,94.0
96.0,99.0,0.4,4.0,94.0
